"","DEPARTMENT","WORK.GROUP","CREATION.YEAR","CREATION.MONTH","Number.Of.Cases","Number.Of.Open.Cases","Number.Of.Cases.Exceeding.Timeframe","Percent.Of.Cases.Exceeding.Timeframe","UniqueID","Mean.Days.To.Close.Of.Closed.Cases","Median.Days.To.Close.Closed.Cases","Standard.Deviation","Above.One.Standard.Deviation","Above.Two.Standard.Deviations","Above.Three.Standard.Deviations","Below.One.Standard.Deviation","Below.Two.Standard.Deviations","Below.Three.Standard.Deviations","Month.Year","Date.End.Month"
"1","Aviation","Aviation--",2007,1,5,0,1,20,"Aviation Aviation-- 2007 1",8.8,0,13.311649033835,22.111649033835,35.42329806767,48.734947101505,-4.51164903383499,-17.82329806767,-31.134947101505,"2007.1","2007/01/31"
"2","Aviation","Aviation--",2007,3,1,0,1,100,"Aviation Aviation-- 2007 3",9,9,NA,NA,NA,NA,NA,NA,NA,"2007.3","2007/03/31"
"3","Aviation","Aviation--",2007,5,1,0,0,0,"Aviation Aviation-- 2007 5",1,1,NA,NA,NA,NA,NA,NA,NA,"2007.5","2007/05/31"
"4","Aviation","Aviation--",2007,6,2,0,2,100,"Aviation Aviation-- 2007 6",14.5,14.5,3.53553390593274,18.0355339059327,21.5710678118655,25.1066017177982,10.9644660940673,7.42893218813452,3.89339828220179,"2007.6","2007/06/30"
"5","Aviation","Aviation--",2007,7,2,0,0,0,"Aviation Aviation-- 2007 7",2.5,2.5,3.53553390593274,6.03553390593274,9.57106781186548,13.1066017177982,-1.03553390593274,-4.57106781186548,-8.10660171779821,"2007.7","2007/07/31"
"6","Aviation","Aviation--",2007,11,1,0,1,100,"Aviation Aviation-- 2007 11",17,17,NA,NA,NA,NA,NA,NA,NA,"2007.11","2007/11/30"
"7","Aviation","Aviation--",2007,12,2,0,0,0,"Aviation Aviation-- 2007 12",1,1,1.4142135623731,2.41421356237309,3.82842712474619,5.24264068711929,-0.414213562373095,-1.82842712474619,-3.24264068711929,"2007.12","2007/12/31"
"8","Aviation","Aviation--",2008,1,1,0,0,0,"Aviation Aviation-- 2008 1",0,0,NA,NA,NA,NA,NA,NA,NA,"2008.1","2008/01/31"
"9","Aviation","Aviation--",2008,2,2,0,0,0,"Aviation Aviation-- 2008 2",4,4,2.82842712474619,6.82842712474619,9.65685424949238,12.4852813742386,1.17157287525381,-1.65685424949238,-4.48528137423857,"2008.2","2008/02/29"
"10","Aviation","Aviation--",2008,3,5,0,0,0,"Aviation Aviation-- 2008 3",3.2,2,2.38746727726266,5.58746727726266,7.97493455452533,10.362401831788,0.812532722737336,-1.57493455452533,-3.96240183178799,"2008.3","2008/03/31"
"11","Aviation","Aviation--",2008,4,2,0,0,0,"Aviation Aviation-- 2008 4",6,6,0,6,6,6,6,6,6,"2008.4","2008/04/30"
"12","Aviation","Aviation--",2008,5,1,0,0,0,"Aviation Aviation-- 2008 5",1,1,NA,NA,NA,NA,NA,NA,NA,"2008.5","2008/05/31"
"13","Aviation","Aviation--",2008,6,3,0,0,0,"Aviation Aviation-- 2008 6",1,1,1,2,3,4,0,-1,-2,"2008.6","2008/06/30"
"14","Aviation","Aviation--",2008,7,1,0,0,0,"Aviation Aviation-- 2008 7",3,3,NA,NA,NA,NA,NA,NA,NA,"2008.7","2008/07/31"
"15","Aviation","Aviation--",2008,9,1,0,0,0,"Aviation Aviation-- 2008 9",2,2,NA,NA,NA,NA,NA,NA,NA,"2008.9","2008/09/30"
"16","Aviation","Aviation--",2008,10,2,0,0,0,"Aviation Aviation-- 2008 10",72.5,72.5,85.5599205235722,158.059920523572,243.619841047144,329.179761570717,-13.0599205235722,-98.6198410471445,-184.179761570717,"2008.10","2008/10/31"
"17","Aviation","Aviation--",2008,11,2,0,0,0,"Aviation Aviation-- 2008 11",1.5,1.5,2.12132034355964,3.62132034355964,5.74264068711928,7.86396103067893,-0.621320343559642,-2.74264068711928,-4.86396103067893,"2008.11","2008/11/30"
"18","Aviation","Aviation--",2008,12,1,0,0,0,"Aviation Aviation-- 2008 12",0,0,NA,NA,NA,NA,NA,NA,NA,"2008.12","2008/12/31"
"19","Aviation","Aviation--",2009,1,1,0,0,0,"Aviation Aviation-- 2009 1",0,0,NA,NA,NA,NA,NA,NA,NA,"2009.1","2009/01/31"
"20","Aviation","Aviation--",2009,3,1,0,0,0,"Aviation Aviation-- 2009 3",1,1,NA,NA,NA,NA,NA,NA,NA,"2009.3","2009/03/31"
"21","Aviation","Aviation--",2009,4,1,0,1,100,"Aviation Aviation-- 2009 4",14,14,NA,NA,NA,NA,NA,NA,NA,"2009.4","2009/04/30"
"22","Aviation","Aviation--",2009,5,2,0,0,0,"Aviation Aviation-- 2009 5",2,2,1.4142135623731,3.41421356237309,4.82842712474619,6.24264068711929,0.585786437626905,-0.82842712474619,-2.24264068711929,"2009.5","2009/05/31"
"23","Aviation","Aviation--",2009,7,1,0,1,100,"Aviation Aviation-- 2009 7",15,15,NA,NA,NA,NA,NA,NA,NA,"2009.7","2009/07/31"
"24","Aviation","Aviation--",2009,9,1,0,1,100,"Aviation Aviation-- 2009 9",155,155,NA,NA,NA,NA,NA,NA,NA,"2009.9","2009/09/30"
"25","Aviation","Aviation--",2010,2,1,0,1,100,"Aviation Aviation-- 2010 2",8,8,NA,NA,NA,NA,NA,NA,NA,"2010.2","2010/02/28"
"26","Aviation","Aviation--",2010,3,2,0,1,50,"Aviation Aviation-- 2010 3",8,8,2.82842712474619,10.8284271247462,13.6568542494924,16.4852813742386,5.17157287525381,2.34314575050762,-0.485281374238571,"2010.3","2010/03/31"
"27","Aviation","Aviation--",2010,5,1,0,0,0,"Aviation Aviation-- 2010 5",0,0,NA,NA,NA,NA,NA,NA,NA,"2010.5","2010/05/31"
"28","Aviation","Aviation--",2010,6,2,0,0,0,"Aviation Aviation-- 2010 6",0,0,0,0,0,0,0,0,0,"2010.6","2010/06/30"
"29","Aviation","Aviation--",2010,7,1,0,0,0,"Aviation Aviation-- 2010 7",5,5,NA,NA,NA,NA,NA,NA,NA,"2010.7","2010/07/31"
"30","Aviation","Aviation--",2010,10,1,0,0,0,"Aviation Aviation-- 2010 10",2,2,NA,NA,NA,NA,NA,NA,NA,"2010.10","2010/10/31"
"31","Aviation","Aviation--",2011,1,2,0,0,0,"Aviation Aviation-- 2011 1",1.5,1.5,0.707106781186548,2.20710678118655,2.91421356237309,3.62132034355964,0.792893218813452,0.0857864376269049,-0.621320343559643,"2011.1","2011/01/31"
"32","Aviation","Aviation--",2011,5,1,0,0,0,"Aviation Aviation-- 2011 5",3,3,NA,NA,NA,NA,NA,NA,NA,"2011.5","2011/05/31"
"33","Aviation","Aviation--",2011,6,4,0,0,0,"Aviation Aviation-- 2011 6",1.75,2,1.5,3.25,4.75,6.25,0.25,-1.25,-2.75,"2011.6","2011/06/30"
"34","Aviation","Aviation--",2011,8,1,0,0,0,"Aviation Aviation-- 2011 8",2,2,NA,NA,NA,NA,NA,NA,NA,"2011.8","2011/08/31"
"35","Aviation","Aviation--",2011,10,2,0,0,0,"Aviation Aviation-- 2011 10",3,3,1.4142135623731,4.41421356237309,5.82842712474619,7.24264068711929,1.5857864376269,0.17157287525381,-1.24264068711929,"2011.10","2011/10/31"
"36","Aviation","Aviation--",2011,12,1,0,0,0,"Aviation Aviation-- 2011 12",9,9,NA,NA,NA,NA,NA,NA,NA,"2011.12","2011/12/31"
"37","Aviation","Aviation--",2012,1,1,0,0,0,"Aviation Aviation-- 2012 1",0,0,NA,NA,NA,NA,NA,NA,NA,"2012.1","2012/01/31"
"38","Aviation","Aviation--",2012,3,1,0,0,0,"Aviation Aviation-- 2012 3",0,0,NA,NA,NA,NA,NA,NA,NA,"2012.3","2012/03/31"
"39","Aviation","Aviation--",2012,4,1,0,0,0,"Aviation Aviation-- 2012 4",4,4,NA,NA,NA,NA,NA,NA,NA,"2012.4","2012/04/30"
"40","Aviation","Aviation--",2012,5,2,0,0,0,"Aviation Aviation-- 2012 5",3,3,2.82842712474619,5.82842712474619,8.65685424949238,11.4852813742386,0.17157287525381,-2.65685424949238,-5.48528137423857,"2012.5","2012/05/31"
"41","Aviation","Aviation--",2012,8,1,0,0,0,"Aviation Aviation-- 2012 8",9,9,NA,NA,NA,NA,NA,NA,NA,"2012.8","2012/08/31"
"42","Aviation","Aviation--",2012,10,1,0,0,0,"Aviation Aviation-- 2012 10",1,1,NA,NA,NA,NA,NA,NA,NA,"2012.10","2012/10/31"
"43","Aviation","Aviation--",2012,12,1,0,0,0,"Aviation Aviation-- 2012 12",2,2,NA,NA,NA,NA,NA,NA,NA,"2012.12","2012/12/31"
"44","Aviation","Aviation--",2013,1,3,0,0,0,"Aviation Aviation-- 2013 1",3.33333333333333,1,4.04145188432738,7.37478521766071,11.4162371019881,15.4576889863155,-0.708118550994047,-4.74957043532143,-8.79102231964881,"2013.1","2013/01/31"
"45","Aviation","Aviation--",2013,5,1,0,0,0,"Aviation Aviation-- 2013 5",12,12,NA,NA,NA,NA,NA,NA,NA,"2013.5","2013/05/31"
"46","Aviation","Aviation--",2013,6,1,0,0,0,"Aviation Aviation-- 2013 6",2,2,NA,NA,NA,NA,NA,NA,NA,"2013.6","2013/06/30"
"47","Aviation","Aviation--",2013,7,2,0,0,0,"Aviation Aviation-- 2013 7",3.5,3.5,0.707106781186548,4.20710678118655,4.91421356237309,5.62132034355964,2.79289321881345,2.08578643762691,1.37867965644036,"2013.7","2013/07/31"
"48","Aviation","Aviation--",2013,9,3,0,0,0,"Aviation Aviation-- 2013 9",2.66666666666667,3,2.51661147842358,5.18327814509025,7.69988962351383,10.2165011019374,0.150055188243083,-2.3665562901805,-4.88316776860408,"2013.9","2013/09/30"
"49","Aviation","Aviation--",2013,12,1,0,0,0,"Aviation Aviation-- 2013 12",1,1,NA,NA,NA,NA,NA,NA,NA,"2013.12","2013/12/31"
"50","Aviation","Aviation--",2014,1,1,0,0,0,"Aviation Aviation-- 2014 1",8,8,NA,NA,NA,NA,NA,NA,NA,"2014.1","2014/01/31"
"51","Aviation","Aviation--",2014,3,1,0,0,0,"Aviation Aviation-- 2014 3",3,3,NA,NA,NA,NA,NA,NA,NA,"2014.3","2014/03/31"
"52","Aviation","Aviation--",2014,7,2,0,0,0,"Aviation Aviation-- 2014 7",4,4,4.24264068711928,8.24264068711928,12.4852813742386,16.7279220613579,-0.242640687119285,-4.48528137423857,-8.72792206135786,"2014.7","2014/07/31"
"53","Aviation","Aviation--",2014,9,2,0,0,0,"Aviation Aviation-- 2014 9",1,1,1.4142135623731,2.41421356237309,3.82842712474619,5.24264068711929,-0.414213562373095,-1.82842712474619,-3.24264068711929,"2014.9","2014/09/30"
"54","Aviation","Aviation--",2014,10,2,0,0,0,"Aviation Aviation-- 2014 10",5,5,2.82842712474619,7.82842712474619,10.6568542494924,13.4852813742386,2.17157287525381,-0.656854249492381,-3.48528137423857,"2014.10","2014/10/31"
"55","Aviation","Aviation--",2015,1,1,0,1,100,"Aviation Aviation-- 2015 1",38,38,NA,NA,NA,NA,NA,NA,NA,"2015.1","2015/01/31"
"56","Aviation","Aviation--",2015,3,2,0,2,100,"Aviation Aviation-- 2015 3",16,16,2.82842712474619,18.8284271247462,21.6568542494924,24.4852813742386,13.1715728752538,10.3431457505076,7.51471862576143,"2015.3","2015/03/31"
"57","Aviation","Aviation--",2015,4,1,0,1,100,"Aviation Aviation-- 2015 4",48,48,NA,NA,NA,NA,NA,NA,NA,"2015.4","2015/04/30"
